id,winner,game_moves
26,1,e6f4c3c4d3d6f3c2f6e3f5e7f7c6c5b6b5a6d7e8f8c7d8c8b4b3a4a5f2e2e1g7a7b7a8g6b8g4b2d1h7f1g5g8h8d2h6a2h4a3a1h5b1h3h2g3g2
27,1,d3c3c4e3f6b4f3f5g5c6c5b6b5a6a3b3c7d7d2e2f4d1e1f1e7f2c1d6c2f7e6e8f8d8a5a4g3h5h6b2a1g4a2g6a7b1g1h2h3h7h1b7b8a8h4c8h8g2g7g8
28,-1,c4c3d3e3f4d6c6c5b4b5f6b6f2b3a4a3a6a5e2f5d7e7d8f7c7c2d2e6g4c8g5f1e1f3g6h6h5d1g3h4h3f8e8h2c1b1a2b2h7h8g8g7a7b7a8b8g2a1g1h1
29,1,d3c3c4e3f6b4f3f5g5c6c5b6b5a6a5d6d7c7d8f4f2e2e7g4g3f7e6h6h5h4h3e8c8a4g6h7h8h2h1e1g8b7f8g7b8g1f1g2d2d1c2b2b3a8a1a7c1a3a2b1
30,1,c4c3d3e3f6b4f3f5g5c6c5b6b5a6a3b3f2e2f4d6a4g3g4f1d2c2c1e1e6h5h6g6h4h3a5h7d1a2c7c8e7f7d7e8d8f8b2b1a1a7b7g1g2g7g8h8h2h1b8a8
31,1,f5d6c6f4e6f6g6f7e8e7f8h6g3f3c3c7c8d8g5h4d7c4h5h3c5b8a8b5b4a4b7g8h8g4h7a7a6b6g7d3h2b3a5g2a3a2g1h1c2b2a1d2f2e3e2c1b1d1e1f1
32,1,e6f4f3d6f5f7c6e3c4d3c5f6c7d7c2f2e8d8c8b3e7b5e2d1e1d2c1b6g5h5f8g3a6g8h8g6h7g4g7h6h4g2h1h2h3b8g1a7f1c3a8b7b1a5a4a3a2b4b2
33,1,f5d6c4d3c5f4d7f6d2c3g3f3g4b5c6e3a4b6a6b4a3h3b3c1c2a5h4e8d1e7g5g6h5e6e2e1f1f2c8c7f8f7d8a2a1b2b1h6g2h2b7g1h1b8h7a7a8g7h8g8
34,1,c4c3d3e3f4d6c7c5c6d7e8f3f2g4e6e2b3b4c2b5a4b6a6f7f6f5a3e7a5f1f8c8e1d2g5h6d8g6d1b1c1a2a1b2g2h3g1g3h1b7b8a8a7g8h2h4h5h7g7h8
35,1,f5d6c3d3c5f4d7f6d2b5b6c4a5c7e3b4c6d8a3b3c8c2e2e1f1a4a6f2d1c1e8b8a8b7a7a2a1g1b2b1h1g2e6f3g3g4h4h3h2g6g5
36,1,d3c3c4e3f6b4f3f5g5c6c5b6b5a6a3b3e2d6a4f4e6h6a5e7c7g3h5h4g4d7f8e8d8f1f2e1h3d2d1c1a7c2h7g6f7g2h1h2g1h8b1b2a1a2a8b7b8c8g7g8
37,1,d3c3c4e3f5b4b3c5c2d2a4b5e1c1d6a3a5a6b6c6f2f3f4g4e2f1d1e7g5f6e6h6h4h5h3g6g3d7c8e8f7h2f8d8c7g1h1g2h7b7a8b8b1b2a7g7a2a1g8h8
38,1,f5d6c6f4e6f6f3e3g5g6h6h5h4g3g4f7d3e7d7c4c5c8d2b5e8f8d8c7h3b4b8a8b3c2c3e1a4e2f2a3a5b6a2g1f1g2h1b2a1h2b1c1d1h7h8g7g8a6b7a7
39,1,e6f4g3d6c7f5f6d7e7f8e8f7c6g4c5g6h3h4c3c4g5h5h6d8c8b5f3h7h8b8g8g7a8h2b7d3h1b3c2b4e3d2b2b6g2f2a6d1g1a2a1b1a3a4a5e2c1e1
40,1,e6f4e3d6c6c5d3c3f5e7d7g5f8f3e2f7f6f2h4h6c2e8d8c8c7g6g3h3b5g4d2c4h5a4f1h7h8e1h2g2d1c1h1g1b1g7g8b2b8b7a7a8a1b3a2b4a3a6a5b6
41,1,f5d6c4d3c3f4f6g5g6e3f2e2h5c5e6b4a5e7f3d2f7b3c7a4e8g4b6f1c1d1h3c6b5c8d7d8c2a6e1h4f8h6a3a2g3g1h1g2h2b2h7b1a1g8a7b7a8b8g7h8
42,1,e6f4e3d6c6c5d3c3f5e7b5f6c4b4f3d2e8c7a4g3f2f8e2c2d1d8c1b3g6g5h5f7d7b6h4h3g4h6a6a5a3b2a1a2c8g1f1b1g8e1h1g2h2b7h7g7h8a7a8b8
43,1,c4c3d3e3f6b4f3f5g5c6c5b6b5a6a5d6d7c7d8f4f2e2g4a4d1c8d2f1e1c1a3b3c2h5h6b1h4h3g3b7a8f7a7b8a2g1g6e6e7h7f8g2h1b2a1h2h8g8e8g7
44,1,d3c3c4e3f5b4f3f4e2f2b3e1g4h5h3h4h6c5d2c1b6c2a4b5a5a3g3g6g5a6f6b7d1f1g2g1h1h2b1b2a1a2a7c6a8b8c8h7h8d7g7d6c7f7d8e8f8e6e7g8
45,1,f5d6c4d3c3f4c5b3e7b5a5c6g4e3b6a6a7g5a4f3b4h5h4g3h6d7e8c7d8f8g6f6f7c8e6b7a8h7h8b8g8g7h3b2a3a2a1d2c2b1e1h2c1d1f2e2f1g2g1h1
46,1,f5d6c6f4d7f6g3c5b4g4d3c3f3e3h5b5f7e7c4b6e6e8f8b3d8h3a3a4a5a6f2c7g5e2c8e1f1h6g6h7h8h4h2g1g7g2h1g8d1b7d2c1b1c2a7a8b8a2b2
47,1,f5d6c3d3c6f4d7f6e3c5c4b5b6b4a6b3e6d2a3e7f8d8g5h4c7g4c2a4a5c8g3f3e1c1h5g6h3h2h1b7a7a8b8e8f7g7h8b2a1h6a2b1e2f1d1g2f2g1g8h7
48,1,e6f4c3c4e3d6g4f6c6c5b4d3f7e7f5e2d8c7d7b3f3a4c2d2d1e1f1f2c1f8e8c8g6h5h3g5a5a3h6h4h7h8g8g7b5a6b6b7g3b1a1b2a2g2a7a8b8h2h1g1
49,1,d3c3c4e3f6b4f3f5g5c6c5b6b5a6a3b3e2d6a4f4d2c1g4c2f2f1e6h4h5g3e7c7a5h6g6h7h3f7h8a2f8g7g8e8d8h2h1g1e1d1b1g2d7b2a1b7a7a8b8c8
50,1,d3c3c4e3f2c5f4e2d6c6b5b6b3b4a4f3e6d7a5a6e7a3e1f8c7f1d8e8c8f7f5g4f6d2d1g6c2c1g5h5h3b2a1a2a7b8b1h4g1h2g3g2h1h6g7h7g8h8b7a8
51,-1,f5d6c5f4f3e3c4g3d7f6f2e2h4c3c2c6e6e7f8c7d2e8d8c8d3b5b4a3g4b3a5a4a6b6f7g6h5h6g5h3a7a8g7h8g8b7b8f1e1d1c1b1b2a1a2h7h2g2g1h1
52,1,f5d6c6f4d7f6d3c4g3f3g6e2c2d2b3b4c3e6e3g4g5h6h5h4c5b5h3e7c7b6f7e8a4a3c8d8a5f2c1a6e1f1d1g2h1h2h7g7g1b1g8h8a1f8b2b8a2b7a7
53,1,f5d6c3d3c5f4f6f7e7c4f3b3g4c6e6d7e8f8c8c7b5d8e3b6b4e2g8h4g5a4a6f2a5h6h5g6a3b7e1d1a8b8a7h8a2f1h7d2c2b2a1b1c1g7g1g2h1h2g3h3
54,1,d3c3c4e3f4d6c6c5b4b5f6b6a5b3d7f3c2d2e6e7d8c8f7f5d1g6a4a3a6e8f2e1f1e2g5h5g3h3h4b1c1b2a1g1a2h2h1g2g4h6h7h8b7g7c7g8f8b8a8a7
55,1,c4c3d3e3f6b4f3f5g5c6c5b6b5a6a5d6d7c7d8f4f2e2a3g4h3f7a7h4e6e7g3h5h6g6e1d2c1d1f1b3c2a4f8a8h7b7a2a1b8b2b1c8e8g2h1h2g1h8g7g8
56,1,e6f4c3c4e3d6g5f6c6c5c7d7e8f5e7f8d8f7d3c8b3h4h6g3g4h5h3f2b5d2f3e2g6a4a5b4a3a6b6a7a8b2b8h2h1g7g8b7b1c2g1a1g2a2f1e1d1c1h8h7
57,1,f5d6c6f4d7f6d3c4b3b4g3f3c3c5a4e7e6c8b5c7f7b6e3f8d8a5e8e2g5h6a6f2h5g6g4h3h4b7d2c1e1d1a8c2b8f1g8a3a2g2h1g1b1a7h2a1g7b2h7h8
58,1,d3c3c4e3f4d6e6c5c6d7b3b4c7b5a4f3a5b6e7a6f2a3e2f5f6c8d2c2a7d1b8a8b7e1c1b1f1f8a1g6b2a2g5h4h5g4g3h2h3d8h1g1h6g2e8h7h8f7g8g7
59,1,f5d6c4d3c5f4e7f6e2b4g3f3c3c2d2b5b6b3e3c1c6f1f2g4d1e1f7d7a4a6e6a5d8e8f8h4c8c7h5g6g5h3h6h7a3a2b8g8h8b7h2g2g7a7a8b2b1a1g1h1
60,1,e6f4c3c4d3d6e3c2b4f5f3d2g3b5b6c5e2f7f6g6b3e1c6h3g5g4c1a6d1a3f1b1a1a2b2a4a5a7b7a8b8c8c7d8d7e7f8e8f2g2h2g1h1g7h4h5h6h8g8h7
61,-1,d3c3c4e3f5b4b3c5b5a4a3a5a6c6f4f6e6d6e2d2b6f1c1f3c2d1f7e7e1b1f8c7d8e8d7a2a1b2g1c8g7g6h7g5g8h8f2h6h4h5b8a8b7h3a7g3g4g2h2h1
62,1,c4c3d3e3c2b4c5b5f6b3d6d1d2e1a6b6a5c6a4f5e6e7a3g6c1a2a1b2b1e2f1f2f4g3a7f3h3h4g2h2b7g1h1h5g4g5h6d8
63,1,d3c3c4e3f6b4f3f5g5c6c5b6b5a6a5d6d7c7d8f4f2e2e7g4g3f7a3e6e1d2c1h5h6g6g8c8h4a4b3d1f1c2e8b7b8g1h1g2a8h2a7f8h3h8b2a1b1a2g7h7
64,1,f5d6c3d3c4f4f6g5g6e3d7c5e6c6b5c7e7e8g3g4f7c8d8b3h5b6a6h6f8h4b4a4h3g8f3f2h7a5d2e2c2d1a3a2a1b2b1c1e1g2h2g1f1g7h1b7h8b8a8a7
65,1,e6f4d3c4b5d6d7c6b6c3c2f7f6f5e3b4a5e2g5h6g6h5f8e8d8e7c5b3d2a4f1e1d1c8g3g4b8c7a3c1h3a6h4a2f2f3g8h2b1b2a1g2a7b7a8g7h8h7h1g1
66,1,d3c3c4e3f5b4e2f3a4c5b5d2d1c1c2b3f4f1e1b1a1f2g1g6a2g4b2a3g5a6a5f6e6h5a7d7e7d6c7b6b7d8c6a8g3c8f8h3e8f7h4g2h1g8b8h8h2h6h7g7
67,1,e6f4e3d6g4f6c4d3c3b3a3d2c2b4d1e2f5f3a5a4f1e1g3f2g6h5c7g5h4d7h6h3c1a2a1b1b2h7b5b7c5b6a6c6e8d8a8b8c8f7f8e7g2g1h1a7h2g7h8g8
68,1,d3c3c4e3f5b4e2f3d2c5a4c1d1e1f2b5f4a5a6g3b3c6d6a3c2g4h4h5h6f6f1b1a1b2a2c7b6a7a8b7h3g2g1h1e7d7d8b8c8f8h2e6g5
69,1,d3c3c4e3f4d6c6c5b4b5a4b6e6f5b3f3c2e7f7f6e2a5c7d1a6d2f1e1c1a3d7d8f8e8c8b8a8b7a7b1a1g8h8g7g6h6h7a2b2h5h4h3g5g4g3g2h1f2h2g1
70,1,e6f4g3d6c6f5g4g6f6g5h4f7e7c7d7e8d8f8c8h5h6h3c3d3c4b3f3h7c5b4b6e2a4a5a6b5e3f2e1d1c1d2g8b7a8a7a3g7b8a2a1b2c2b1h8f1h2g2g1h1
71,1,f5d6c7f4f3f6f7d7e7g5c5g4h4g6h6f8e8b5h5d8e3h3g3e2d2f2e6h7c6c8b4b3b6c2a5g8d1e1f1h2a3g7c4c3c1d3a4b2a2a1b1g1h8a6h1b8b7a7a8g2
72,1,c4c3d3e3c2b4c5b5f6b3f2e2f4f3d2c1f5d1a4f1e1a3a6a5g4h5b6g6g5d6h3e6c6h4d7e7e8f8c7f7h6d8c8g3a2b7g8b2a1h7h8b1g7a7a8b8h2g2h1g1
73,1,d3c3c4e3f2c5b6e2f6e6b4b5f4f5d6c6a5e7f3g4c7g6g5h4b3d7h5h6f8d8h3g3e1d2c8f7e8a4a3g1f1g2h1h2h7b7a8a7a6g7b8a2a1g8h8c2c1d1b2b1
